timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18316800,0.0,5.452302360683155e-11,0.0,23.90072788724399,23.739433849327384,23.719410565016233,23.71938361486383,23.694227194322252,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.011933559018416,23.889953011334114,23.812239106550862,23.895036958249705,23.90170813531313,,False,5.452302360683155e-11,40.0,1.363075590170789e-10,39.99999999994548,False,False,
18317700,0.25,4.971037386299187e-11,0.0,23.96109109014509,23.854554303222244,23.84854152479477,23.781085427243625,23.849164627426205,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.011933559018416,23.889953011334114,23.812239106550862,23.895036958249705,23.90170813531313,,False,4.971037386299187e-11,40.0,1.2427593465747968e-10,39.99999999995029,False,False,
18318600,0.5,4.9936858196984526e-11,0.0,23.996432911793192,23.826552776598078,23.87544628975172,23.874958330133836,23.892570427142743,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.011933559018416,23.889953011334114,23.812239106550862,23.895036958249705,23.90170813531313,,False,4.9936858196984526e-11,40.0,1.2484214549246133e-10,39.99999999995006,False,False,
18319500,0.75,5.4408172896575005e-11,0.0,24.01403128215037,23.894706943718916,23.81389063193143,23.89945585589561,23.907563662643213,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.011933559018416,23.889953011334114,23.812239106550862,23.895036958249705,23.90170813531313,,False,5.4408172896575005e-11,40.0,1.360204322414375e-10,39.999999999945594,False,False,
18320400,1.0,5.275904386134961e-11,0.0,24.018906289559084,23.864912362311372,23.829767403041274,23.90592543073018,23.91430070622664,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.00345833902753,23.875542611530307,23.77594563650814,23.867687995778056,23.866630206292996,,False,5.275904386134961e-11,40.0,1.3189760965337403e-10,39.99999999994724,False,False,
18321300,1.25,5.473327035068432e-11,0.0,24.01802013539566,23.87363090743827,23.887440095179045,23.825858667736895,23.90608667734608,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.00345833902753,23.875542611530307,23.77594563650814,23.867687995778056,23.866630206292996,,False,5.473327035068432e-11,40.0,1.368331758767108e-10,39.99999999994527,False,False,
18322200,1.5,4.9210903127553074e-11,0.0,24.01393542262639,23.89388816768411,23.871698840729607,23.868667326033687,23.823258668653125,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.00345833902753,23.875542611530307,23.77594563650814,23.867687995778056,23.866630206292996,,False,4.9210903127553074e-11,40.0,1.230272578188827e-10,39.99999999995079,False,False,
18323100,1.75,5.493984843653669e-11,0.0,24.007326813716247,23.883898894061076,23.778051094765203,23.87435552948324,23.87460709410982,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.00345833902753,23.875542611530307,23.77594563650814,23.867687995778056,23.866630206292996,,False,5.493984843653669e-11,40.0,1.3734962109134173e-10,39.99999999994506,False,False,
18324000,2.0,5.4303882155369626e-11,0.0,23.995688954674165,23.86795988497397,23.753696968916245,23.861026323506564,23.866444650894664,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.971909873620007,23.834073123580936,23.722352568626604,23.826113443572524,23.833230427868273,,False,5.4303882155369626e-11,40.0,1.3575970538842407e-10,39.99999999994569,False,False,
18324900,2.25,5.322562080167879e-11,0.0,23.98694903603473,23.8570199961203,23.740749479443025,23.849772290504916,23.85624987740158,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.971909873620007,23.834073123580936,23.722352568626604,23.826113443572524,23.833230427868273,,False,5.322562080167879e-11,40.0,1.3306405200419698e-10,39.99999999994677,False,False,
18325800,2.5,5.204657225035892e-11,0.0,23.98042433324315,23.848659392281263,23.731468709915816,23.840394618046957,23.847871773078225,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.971909873620007,23.834073123580936,23.722352568626604,23.826113443572524,23.833230427868273,,False,5.204657225035892e-11,40.0,1.3011643062589728e-10,39.99999999994795,False,False,
18326700,2.75,5.091003189608556e-11,0.0,23.9753769921233,23.841911701903825,23.724546056104032,23.83240153631914,23.840891978685875,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.971909873620007,23.834073123580936,23.722352568626604,23.826113443572524,23.833230427868273,,False,5.091003189608556e-11,40.0,1.272750797402139e-10,39.99999999994909,False,False,
18327600,3.0,4.980268111494454e-11,0.0,23.97113521593019,23.835908453385514,23.719114234696633,23.82503717492949,23.834550301523564,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.952768784972022,23.803209249027987,23.70246975267912,23.78896798739396,23.789485575369554,,False,4.980268111494454e-11,40.0,1.2450670278736134e-10,39.9999999999502,False,False,
18328500,3.25,4.8815118420609003e-11,0.0,23.966716899192647,23.828436418051638,23.71359471636373,23.816086825550883,23.826675166864845,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.952768784972022,23.803209249027987,23.70246975267912,23.78896798739396,23.789485575369554,,False,4.8815118420609003e-11,40.0,1.2203779605152251e-10,39.999999999951186,False,False,
18329400,3.5,4.7992908856921845e-11,0.0,23.9615308819221,23.819073754844624,23.70795630731709,23.80520462150548,23.81606746202766,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.952768784972022,23.803209249027987,23.70246975267912,23.78896798739396,23.789485575369554,,False,4.7992908856921845e-11,40.0,1.1998227214230461e-10,39.99999999995201,False,False,
18330300,3.75,4.73388965740937e-11,0.0,23.95477221729584,23.808479760498187,23.704794106660188,23.793382464237823,23.789584212757234,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.952768784972022,23.803209249027987,23.70246975267912,23.78896798739396,23.789485575369554,,False,4.73388965740937e-11,40.0,1.1834724143523425e-10,39.999999999952664,False,False,
18331200,4.0,5.020686718512863e-11,0.0,23.947213228124497,23.792883270358345,23.74197541831927,23.77898244412063,23.726213602085863,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.929782957050463,23.75900967397007,23.664778888974183,23.746619823314006,23.76374987545671,,False,5.020686718512863e-11,40.0,1.2551716796282158e-10,39.99999999994979,False,False,
18332100,4.25,4.93059597649508e-11,0.0,23.94119714093472,23.783208065417,23.759527961238405,23.691583917304115,23.76729418224693,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.929782957050463,23.75900967397007,23.664778888974183,23.746619823314006,23.76374987545671,,False,4.93059597649508e-11,40.0,1.2326489941237703e-10,39.999999999950695,False,False,
18333000,4.5,4.812782614866641e-11,0.0,23.93580334426821,23.708608585500087,23.743736782070187,23.74526613650721,23.773433274791614,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.929782957050463,23.75900967397007,23.664778888974183,23.746619823314006,23.76374987545671,,False,4.812782614866641e-11,40.0,1.2031956537166603e-10,39.999999999951875,False,False,
18333900,4.75,4.9488633007874424e-11,0.0,23.932439935025627,23.764922634866537,23.666316652463593,23.7521147159228,23.770452771029852,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.929782957050463,23.75900967397007,23.664778888974183,23.746619823314006,23.76374987545671,,False,4.9488633007874424e-11,40.0,1.2372158251968605e-10,39.99999999995051,False,False,
18334800,5.0,4.826183893434506e-11,0.0,23.93136803372863,23.742581897562104,23.690359888354408,23.753940198241196,23.77263226988265,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.958211652478326,23.87855850816277,23.7484433560997,23.78288514381279,23.793324513848233,,False,4.826183893434506e-11,40.0,1.2065459733586265e-10,39.99999999995174,False,False,
18335700,5.25,4.7714056587383374e-11,0.0,23.93558514852549,23.76041619148714,23.752068411022265,23.713897826155915,23.775158934119247,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.958211652478326,23.87855850816277,23.7484433560997,23.78288514381279,23.793324513848233,,False,4.7714056587383374e-11,40.0,1.1928514146845843e-10,39.99999999995229,False,False,
18336600,5.5,4.732317219188145e-11,0.0,23.944327207860113,23.813399823307293,23.771279045167717,23.751710490912217,23.743317413013187,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.958211652478326,23.87855850816277,23.7484433560997,23.78288514381279,23.793324513848233,,False,4.732317219188145e-11,40.0,1.1830793047970363e-10,39.99999999995268,False,False,
18337500,5.75,4.754381427553386e-11,0.0,23.95999813204247,23.881022309015577,23.748721447253956,23.786959804020682,23.79839203735662,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,23.958211652478326,23.87855850816277,23.7484433560997,23.78288514381279,23.793324513848233,,False,4.754381427553386e-11,40.0,1.1885953568883464e-10,39.99999999995246,False,False,
18338400,6.0,4.498791931121504e-09,0.0,23.974658892815057,23.99258116079136,23.75932507355219,23.81122998571965,23.827550894338117,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.054544075971307,24.29839117508658,23.88582832874522,23.89551239910594,23.974067884557257,,False,4.498791931121504e-09,40.0,1.124697982780376e-08,39.999999995501206,False,False,
18339300,6.25,6.702530868577827e-09,0.0,23.992901897605293,24.11986108713836,23.789809873723016,23.836820821228912,23.86552762401425,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.054544075971307,24.29839117508658,23.88582832874522,23.89551239910594,23.974067884557257,,False,6.702530868577827e-09,40.0,1.675632717144457e-08,39.99999999329747,False,False,
18340200,6.5,9.573140308231442e-09,0.0,24.01973747796154,24.212714841666468,23.8300639439081,23.868109279987948,23.917089534184242,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.054544075971307,24.29839117508658,23.88582832874522,23.89551239910594,23.974067884557257,,False,9.573140308231442e-09,40.0,2.3932850770578607e-08,39.99999999042686,False,False,
18341100,6.75,4.7373100340772894e-09,0.0,24.05312592931415,24.29376191458482,23.88390828212266,23.912135497510747,23.974904404683002,"bcp,bahu",False,0,0,13.0,0.5,0.0,0.5,0,0.0,24.054544075971307,24.29839117508658,23.88582832874522,23.89551239910594,23.974067884557257,,False,4.7373100340772894e-09,40.0,1.1843275085193223e-08,39.99999999526269,False,False,
18342000,7.0,8.55157754142951,0.0,23.367685549013117,23.47215625276874,23.25287517893628,23.237048593340887,23.187324858530587,"bcp,bahu",False,1,1,13.0,0.5,3.52038780097108,0.4563339533188771,1,0.0,22.85011775882532,23.213718231421183,22.94918224560081,22.950793315084468,22.839378861769035,,False,12.071965342400588,40.0,30.17991335600147,27.92803465759941,False,False,
18342900,7.25,15.714019682982789,0.0,22.891241580265955,22.192403650247684,22.19618097791539,22.183405340613888,22.120912413857013,"bcp,bahu",False,1,1,13.0,0.5,3.52038780097108,0.4563339533188771,1,0.0,22.85011775882532,23.213718231421183,22.94918224560081,22.950793315084468,22.839378861769035,,False,19.23440748395387,40.0,48.08601870988468,20.76559251604613,False,False,
18343800,7.5,16.52724444672965,0.0,22.5934344129289,21.90238288178483,21.93428698201234,21.925439068834578,21.58317917158132,"bcp,bahu",False,1,1,13.0,0.5,3.52038780097108,0.4563339533188771,1,0.0,22.85011775882532,23.213718231421183,22.94918224560081,22.950793315084468,22.839378861769035,,False,20.04763224770073,40.0,50.11908061925182,19.95236775229927,False,False,
