timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,P_B_kW_original,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18330300,3.75,4.90E-02,0,24.03703704,23.7962963,23.77777778,23.77777778,23.81481481,"bcp,bahu",FALSE,0,0,13,0.5,15.42251042,7.711255211,0.642473354,-1,0,23.95081181,23.80102423,23.70053357,23.78715626,23.78809229,uMod,FALSE,1.55E+01,50,25.70418404,22.28874479,FALSE,FALSE,
18331200,4,4.90E-02,0,24,23.77777778,23.72222222,23.74074074,23.75925926,"bcp,bahu",FALSE,0,0,13,0.5,15.42228922,7.711144611,0.678460804,-1,0,23.92764412,23.75689222,23.66244418,23.74477124,23.76155131,uMod,FALSE,1.55E+01,50,25.70381537,22.28885539,FALSE,FALSE,
18332100,4.25,4.90E-02,0,24,23.77777778,23.77777778,23.7037037,23.72222222,"bcp,bahu",FALSE,0,0,13,0.5,15.42228922,7.711144611,0.678460804,-1,0,23.92764412,23.75689222,23.66244418,23.74477124,23.76155131,uMod,FALSE,1.55E+01,50,25.70381537,22.28885539,FALSE,FALSE,
18333000,4.5,4.90E-02,0,24,23.75925926,23.77777778,23.61111111,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42228922,7.711144611,0.678460804,-1,0,23.92764412,23.75689222,23.66244418,23.74477124,23.76155131,uMod,FALSE,1.55E+01,50,25.70381537,22.28885539,FALSE,FALSE,
18333900,4.75,4.90E-02,0,24,23.66666667,23.77777778,23.66666667,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42228922,7.711144611,0.678460804,-1,0,23.92764412,23.75689222,23.66244418,23.74477124,23.76155131,uMod,FALSE,1.55E+01,50,25.70381537,22.28885539,FALSE,FALSE,
18334800,5,4.90E-02,0,24,23.72222222,23.72222222,23.66666667,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42271591,7.711357955,0.714448254,-1,0,23.95486196,23.87237146,23.74450024,23.77975958,23.79079789,uMod,FALSE,1.55E+01,50,25.70452652,22.28864205,FALSE,FALSE,
18335700,5.25,4.90E-02,0,24,23.68518519,23.75925926,23.66666667,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42271591,7.711357955,0.714448254,-1,0,23.95486196,23.87237146,23.74450024,23.77975958,23.79079789,uMod,FALSE,1.55E+01,50,25.70452652,22.28864205,FALSE,FALSE,
18336600,5.5,4.90E-02,0,24,23.7962963,23.77777778,23.66666667,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42271591,7.711357955,0.714448254,-1,0,23.95486196,23.87237146,23.74450024,23.77975958,23.79079789,uMod,FALSE,1.55E+01,50,25.70452652,22.28864205,FALSE,FALSE,
18337500,5.75,4.90E-02,0,24,23.85185185,23.83333333,23.68518519,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.42271591,7.711357955,0.714448254,-1,0,23.95486196,23.87237146,23.74450024,23.77975958,23.79079789,uMod,FALSE,1.55E+01,50,25.70452652,22.28864205,FALSE,FALSE,
18338400,6,4.90E-02,0,24,23.94444444,23.83333333,23.72222222,23.77777778,"bcp,bahu",FALSE,0,0,13,0.5,15.4234436,7.711721801,0.750435704,-1,0,24.04993887,24.29264648,23.88092804,23.89100676,23.96894732,uMod,FALSE,1.55E+01,50,25.70573935,22.28827819,FALSE,FALSE,
18339300,6.25,4.90E-02,0,24,24.05555556,23.83333333,23.72222222,23.83333333,"bcp,bahu",FALSE,0,0,13,0.5,15.4234436,7.711721801,0.750435704,-1,0,24.04993887,24.29264648,23.88092804,23.89100676,23.96894732,uMod,FALSE,1.55E+01,50,25.70573936,22.28827819,FALSE,FALSE,
