timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,V_core_A,V_east_A,V_north_A,V_south_A,V_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,V_core_B,V_east_B,V_north_B,V_south_B,V_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18316800,0.0,5.452302360683155e-11,0.0,23.90072788724399,23.739433849327384,23.719410565016233,23.71938361486383,23.694227194322252,0.0005010899102479942,0.00010031414190913588,0.00010563562203548988,0.00010563562203548988,7.802211037377234e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711863630520623,0.5345110042363757,-1,0.0,24.012538799362744,23.89148261044187,23.811772606722002,23.896054209181898,23.902394047657594,0.00045391307573986524,9.086972170652175e-05,9.569019276818501e-05,9.569019276818501e-05,7.067645021618356e-05,uMod,False,7.711863630575146,30.0,25.706212101917153,22.288136369424855,False,False,
18317700,0.25,4.971037386299187e-11,0.0,23.96109109014509,23.854554303222244,23.84854152479477,23.781085427243625,23.849164627426205,0.00047846401932735006,9.578462178466868e-05,0.00010086581922639289,0.00010086581922639271,7.449915027696446e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711863630520623,0.5345110042363757,-1,0.0,24.012538799362744,23.89148261044187,23.811772606722002,23.896054209181898,23.902394047657594,0.00045391307573986524,9.086972170652175e-05,9.569019276818501e-05,9.569019276818501e-05,7.067645021618356e-05,uMod,False,7.711863630570334,30.0,25.70621210190111,22.288136369429665,False,False,
18318600,0.5,4.9936858196984526e-11,0.0,23.996432911793192,23.826552776598078,23.87544628975172,23.874958330133836,23.892570427142743,0.00047955282211810163,9.600259129911176e-05,0.00010109535161488701,0.00010109535160691987,7.466868207770468e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711863630520623,0.5345110042363757,-1,0.0,24.012538799362744,23.89148261044187,23.811772606722002,23.896054209181898,23.902394047657594,0.00045391307573986524,9.086972170652175e-05,9.569019276818501e-05,9.569019276818501e-05,7.067645021618356e-05,uMod,False,7.71186363057056,30.0,25.706212101901865,22.288136369429438,False,False,
18319500,0.75,5.4408172896575005e-11,0.0,24.01403128215037,23.894706943718916,23.81389063193143,23.89945585589561,23.907563662643213,0.0005005620837746279,0.00010020847532580817,0.00010552435003327319,0.00010552435003283106,7.793992525182454e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711863630520623,0.5345110042363757,-1,0.0,24.012538799362744,23.89148261044187,23.811772606722002,23.896054209181898,23.902394047657594,0.00045391307573986524,9.086972170652175e-05,9.569019276818501e-05,9.569019276818501e-05,7.067645021618356e-05,uMod,False,7.711863630575031,30.0,25.70621210191677,22.28813636942497,False,False,
18320400,1.0,5.275904386134961e-11,0.0,24.018906289559084,23.864912362311372,23.829767403041274,23.90592543073018,23.91430070622664,0.0004929177878874771,9.867814919524152e-05,0.0001039128429268942,0.00010391284292689437,7.674967159629895e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711820490602171,0.5704984542763724,-1,0.0,24.002121631774344,23.874236294329762,23.77476666218689,23.866803245346375,23.865720365457605,0.00045415089813757327,9.091733182451747e-05,9.574032851508924e-05,9.574032851508903e-05,7.071348030795831e-05,uMod,False,7.7118204906549295,30.0,25.7060683021831,22.28817950934507,False,False,
18321300,1.25,5.473327035068432e-11,0.0,24.01802013539566,23.87363090743827,23.887440095179045,23.825858667736895,23.90608667734608,0.0005020554254155569,0.00010050743022636958,0.00010583916394129245,0.00010583916394129268,7.81724457316201e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711820490602171,0.5704984542763724,-1,0.0,24.002121631774344,23.874236294329762,23.77476666218689,23.866803245346375,23.865720365457605,0.00045415089813757327,9.091733182451747e-05,9.574032851508924e-05,9.574032851508903e-05,7.071348030795831e-05,uMod,False,7.711820490656904,30.0,25.706068302189678,22.288179509343095,False,False,
18322200,1.5,4.9210903127553074e-11,0.0,24.01393542262639,23.89388816768411,23.871698840729607,23.868667326033687,23.823258668653125,0.00047605454538319884,9.530226461338137e-05,0.00010035787389786724,0.00010035787389821337,7.412398358897776e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711820490602171,0.5704984542763724,-1,0.0,24.002121631774344,23.874236294329762,23.77476666218689,23.866803245346375,23.865720365457605,0.00045415089813757327,9.091733182451747e-05,9.574032851508924e-05,9.574032851508903e-05,7.071348030795831e-05,uMod,False,7.711820490651382,30.0,25.706068302171275,22.288179509348616,False,False,
18323100,1.75,5.493984843653669e-11,0.0,24.007326813716247,23.883898894061076,23.778051094765203,23.87435552948324,23.87460709410982,0.0005030021212825054,0.00010069695107205294,0.00010603873851808566,0.00010603873851769369,7.831985083378368e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711820490602171,0.5704984542763724,-1,0.0,24.002121631774344,23.874236294329762,23.77476666218689,23.866803245346375,23.865720365457605,0.00045415089813757327,9.091733182451747e-05,9.574032851508924e-05,9.574032851508903e-05,7.071348030795831e-05,uMod,False,7.711820490657111,30.0,25.70606830219037,22.28817950934289,False,False,
18324000,2.0,5.4303882155369626e-11,0.0,23.995688954674165,23.86795988497397,23.753696968916245,23.861026323506564,23.866444650894664,0.0005000824166587317,0.00010011244985186249,0.00010542323058664725,0.00010542323058669,7.786523877365809e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711715963994846,0.6064859043164749,-1,0.0,23.97023830305858,23.83227149853883,23.721045051026977,23.824654320177956,23.83161330686778,0.0004523941264208835,9.056564035421168e-05,9.53699804612341e-05,9.536998046123323e-05,7.043994249772073e-05,uMod,False,7.71171596404915,30.0,25.70571988016383,22.288284035950852,False,False,
18324900,2.25,5.322562080167879e-11,0.0,23.98694903603473,23.8570199961203,23.740749479443025,23.849772290504916,23.85624987740158,0.0004950927377170675,9.91135565370997e-05,0.00010437134782482006,0.00010437134782485657,7.708832175107804e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711715963994846,0.6064859043164749,-1,0.0,23.97023830305858,23.83227149853883,23.721045051026977,23.824654320177956,23.83161330686778,0.0004523941264208835,9.056564035421168e-05,9.53699804612341e-05,9.536998046123323e-05,7.043994249772073e-05,uMod,False,7.7117159640480715,30.0,25.70571988016024,22.28828403595193,False,False,
18325800,2.5,5.204657225035892e-11,0.0,23.98042433324315,23.848659392281263,23.731468709915816,23.840394618046957,23.847871773078225,0.0004895784371435416,9.800963822029928e-05,0.00010320886867833161,0.00010320886867807753,7.622971861581702e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711715963994846,0.6064859043164749,-1,0.0,23.97023830305858,23.83227149853883,23.721045051026977,23.824654320177956,23.83161330686778,0.0004523941264208835,9.056564035421168e-05,9.53699804612341e-05,9.536998046123323e-05,7.043994249772073e-05,uMod,False,7.711715964046892,30.0,25.70571988015631,22.288284035953108,False,False,
18326700,2.75,5.091003189608556e-11,0.0,23.9753769921233,23.841911701903825,23.724546056104032,23.83240153631914,23.840891978685875,0.00048420348686104014,9.693361670330685e-05,0.00010207576620531794,0.00010207576620531477,7.539281299147292e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711715963994846,0.6064859043164749,-1,0.0,23.97023830305858,23.83227149853883,23.721045051026977,23.824654320177956,23.83161330686778,0.0004523941264208835,9.056564035421168e-05,9.53699804612341e-05,9.536998046123323e-05,7.043994249772073e-05,uMod,False,7.711715964045756,30.0,25.70571988015252,22.288284035954245,False,False,
18327600,3.0,4.980268111494454e-11,0.0,23.97113521593019,23.835908453385514,23.719114234696633,23.82503717492949,23.834550301523564,0.0004789085503628532,9.587361329788216e-05,0.00010095953157518043,0.00010095953157529082,7.456836589837321e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711255210582501,0.6424733543566806,-1,0.0,23.950811805734986,23.80102423188015,23.700533569729203,23.787156264981377,23.788092291835937,0.00045063974617202577,9.021442763639927e-05,9.500013655680519e-05,9.50001365568074e-05,7.01667770505326e-05,uMod,False,7.711255210632304,30.0,25.704184035441013,22.288744789367698,False,False,
18328500,3.25,4.8815118420609003e-11,0.0,23.966716899192647,23.828436418051638,23.71359471636373,23.816086825550883,23.826675166864845,0.0004741365037330394,9.491828820949078e-05,9.995352825347896e-05,9.995352825361489e-05,7.382533527403928e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711255210582501,0.6424733543566806,-1,0.0,23.950811805734986,23.80102423188015,23.700533569729203,23.787156264981377,23.788092291835937,0.00045063974617202577,9.021442763639927e-05,9.500013655680519e-05,9.50001365568074e-05,7.01667770505326e-05,uMod,False,7.711255210631316,30.0,25.70418403543772,22.288744789368685,False,False,
18329400,3.5,4.7992908856921845e-11,0.0,23.9615308819221,23.819073754844624,23.70795630731709,23.80520462150548,23.81606746202766,0.00047012650665978,9.411551927073216e-05,9.910817390395984e-05,9.910817390393177e-05,7.320095943279598e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711255210582501,0.6424733543566806,-1,0.0,23.950811805734986,23.80102423188015,23.700533569729203,23.787156264981377,23.788092291835937,0.00045063974617202577,9.021442763639927e-05,9.500013655680519e-05,9.50001365568074e-05,7.01667770505326e-05,uMod,False,7.711255210630494,30.0,25.70418403543498,22.288744789369506,False,False,
18330300,3.75,4.73388965740937e-11,0.0,23.95477221729584,23.808479760498187,23.704794106660188,23.793382464237823,23.789584212757234,0.00046691222292998203,9.347204569936281e-05,9.84305652467976e-05,9.84305652469564e-05,7.270047998825684e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711255210582501,0.6424733543566806,-1,0.0,23.950811805734986,23.80102423188015,23.700533569729203,23.787156264981377,23.788092291835937,0.00045063974617202577,9.021442763639927e-05,9.500013655680519e-05,9.50001365568074e-05,7.01667770505326e-05,uMod,False,7.71125521062984,30.0,25.704184035432803,22.28874478937016,False,False,
18331200,4.0,5.020686718512863e-11,0.0,23.947213228124497,23.792883270358345,23.74197541831927,23.77898244412063,23.726213602085863,0.0004808478853504844,9.626185245672388e-05,0.0001013683661047588,0.00010136836610454523,7.487032968833622e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711144610925643,0.678460804396508,-1,0.0,23.92764411513963,23.756892215083553,23.662444178204566,23.74477124470809,23.761551314794474,0.0004517854541066219,9.044378908628431e-05,9.524166520838477e-05,9.524166520838424e-05,7.034516928933231e-05,uMod,False,7.71114461097585,30.0,25.703815369919504,22.28885538902415,False,False,
18332100,4.25,4.93059597649508e-11,0.0,23.94119714093472,23.783208065417,23.759527961238405,23.691583917304115,23.76729418224693,0.00047651423427744926,9.539429060740454e-05,0.00010045478170125789,0.00010045478170201682,7.419555936223279e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711144610925643,0.678460804396508,-1,0.0,23.92764411513963,23.756892215083553,23.662444178204566,23.74477124470809,23.761551314794474,0.0004517854541066219,9.044378908628431e-05,9.524166520838477e-05,9.524166520838424e-05,7.034516928933231e-05,uMod,False,7.71114461097495,30.0,25.703815369916498,22.288855389025052,False,False,
18333000,4.5,4.812782614866641e-11,0.0,23.93580334426821,23.708608585500087,23.743736782070187,23.74526613650721,23.773433274791614,0.0004707868404381426,9.424771274568227e-05,9.924737999840273e-05,9.924737999834515e-05,7.330377657971382e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711144610925643,0.678460804396508,-1,0.0,23.92764411513963,23.756892215083553,23.662444178204566,23.74477124470809,23.761551314794474,0.0004517854541066219,9.044378908628431e-05,9.524166520838477e-05,9.524166520838424e-05,7.034516928933231e-05,uMod,False,7.711144610973771,30.0,25.70381536991257,22.288855389026228,False,False,
18333900,4.75,4.9488633007874424e-11,0.0,23.932439935025627,23.764922634866537,23.666316652463593,23.7521147159228,23.770452771029852,0.0004773961670218779,9.557084640117481e-05,0.0001006407034532836,0.00010064070345336787,7.433288053428655e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711144610925643,0.678460804396508,-1,0.0,23.92764411513963,23.756892215083553,23.662444178204566,23.74477124470809,23.761551314794474,0.0004517854541066219,9.044378908628431e-05,9.524166520838477e-05,9.524166520838424e-05,7.034516928933231e-05,uMod,False,7.711144610975132,30.0,25.703815369917105,22.288855389024867,False,False,
