timestamp,P_A_kW,status_A,mode_A,comfort_violation_A,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B,T_core_B,P_total_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,P_A_ref_kW,P_B_ref_kW,SOC_B_target,attack_active
18316800,5.4523007146150937e-11,normal,nominal,0.0,23.90071818560375,23.739442465007528,23.719420351443205,23.719394063196034,23.69423478478177,0.0,0.5,0,0.0,23.899745406107797,5.4523007146150937e-11,1.0904601429230187e-10,49.99999999994548,False,8.0,12.0,0.5,False
18317700,4.967430303368517e-11,normal,nominal,0.0,23.96117564576923,23.855013989280224,23.84869201603459,23.78101764204274,23.849324629875127,0.0,0.5,0,0.0,23.95994439640674,4.967430303368517e-11,9.934860606737033e-11,49.999999999950326,False,8.000000070335256,12.000000019697062,0.6,False
18318600,4.99386435494323e-11,normal,nominal,0.0,23.99650727235212,23.82657164235286,23.875552829219657,23.87507123660282,23.8926281081163,0.0,0.5,0,0.0,23.994548411166534,4.99386435494323e-11,9.98772870988646e-11,49.99999999995006,False,8.000000070335256,12.000000019697062,0.6,False
18319500,5.440792998529373e-11,normal,nominal,0.0,24.01404778252919,23.894645182539307,23.814006279820887,23.899427775952915,23.90751860806381,0.0,0.5,0,0.0,24.011921912669777,5.440792998529373e-11,1.0881585997058745e-10,49.999999999945594,False,8.000000070335256,12.000000019697062,0.6,False
18320400,5.103919345427962e-11,normal,nominal,0.0,24.0190033321839,23.86526374405821,23.830163532598135,23.905866899613443,23.91421096306925,0.0,0.5,0,0.0,24.01658786229791,5.103919345427962e-11,1.0207838690855925e-10,49.99999999994896,False,8.000000070335256,12.000000019697062,0.6,False
18321300,5.4848310144913646e-11,normal,nominal,0.0,24.018026992903287,23.873405756282693,23.8872427870117,23.825222054141875,23.905607090894364,0.0,0.5,0,0.0,24.015214435703,5.4848310144913646e-11,1.096966202898273e-10,49.99999999994515,False,8.000000070335256,12.000000019697062,0.6,False
18322200,4.917037610724994e-11,normal,nominal,0.0,24.01375956815707,23.89381255293972,23.870074378156573,23.86797298138481,23.824999572337617,0.0,0.5,0,0.0,24.01060926100115,4.917037610724994e-11,9.834075221449988e-11,49.99999999995083,False,8.000000070335256,12.000000019697062,0.6,False
18323100,5.494417844207454e-11,normal,nominal,0.0,24.006842908871647,23.88327076226892,23.77822084275624,23.87359763814453,23.873488213064945,0.0,0.5,0,0.0,24.00360733198096,5.494417844207454e-11,1.0988835688414909e-10,49.999999999945054,False,8.000000070335256,12.000000019697062,0.6,False
18324000,5.430443582678481e-11,normal,nominal,0.0,23.99543812990464,23.867706817402677,23.753415490912914,23.86081528903634,23.866284590029238,0.0,0.5,0,0.0,23.99184663551256,5.430443582678481e-11,1.0860887165356962e-10,49.99999999994569,False,8.000000070335256,12.000000019697062,0.6,False
18324900,5.3223874551870644e-11,normal,nominal,0.0,23.98675812575499,23.856842144874463,23.740514425150025,23.84963944794015,23.856118900974366,0.0,0.5,0,0.0,23.983211827972468,5.3223874551870644e-11,1.0644774910374129e-10,49.99999999994677,False,8.000000070335256,12.000000019697062,0.6,False
18325800,5.2046955229139535e-11,normal,nominal,0.0,23.980297489684403,23.848545116753826,23.73129883357217,23.840311459030374,23.847779054596458,0.0,0.5,0,0.0,23.9768672193386,5.2046955229139535e-11,1.0409391045827907e-10,49.99999999994795,False,8.000000070335256,12.000000019697062,0.6,False
