timestamp,cycle_time,flex_time,agg_time,mpc_time,total_power,feeder_limit,utilization
0.0,0.2803764343261719,0.20034551620483398,0.020998477935791016,0.058030128479003906,15.93526065023189,50.0,31.87052130046378
3600.0,0.3098134994506836,0.19455313682556152,0.023983478546142578,0.09028983116149902,20.453978240084712,50.0,40.907956480169425
7200.0,0.36040568351745605,0.26795196533203125,0.017742156982421875,0.07471156120300293,24.056143995084533,50.0,48.11228799016906
10800.0,0.33700132369995117,0.23070049285888672,0.023293733596801758,0.08200597763061523,25.35547249962027,50.0,50.71094499924054
14400.0,0.37213611602783203,0.2817347049713135,0.020000457763671875,0.06939864158630371,25.287994734903247,50.0,50.575989469806494
18000.0,0.2626993656158447,0.17962884902954102,0.023000717163085938,0.06006979942321777,25.10016201156492,50.0,50.20032402312983
21600.0,0.3134944438934326,0.2341158390045166,0.020563602447509766,0.05783438682556152,24.64275483024756,50.0,49.28550966049513
25200.0,0.2768688201904297,0.19287896156311035,0.020959854125976562,0.06303000450134277,24.116000493990086,50.0,48.23200098798017
28800.0,0.30290937423706055,0.2177104949951172,0.02347087860107422,0.060756683349609375,18.404044631364407,50.0,36.808089262728814
32400.0,0.2952413558959961,0.21500372886657715,0.01934194564819336,0.060895681381225586,19.905650568772536,50.0,39.81130113754507
36000.0,0.3512303829193115,0.25971174240112305,0.024999618530273438,0.06651902198791504,20.94330647365235,50.0,41.886612947304705
39600.0,0.26261234283447266,0.18964195251464844,0.021970748901367188,0.05099964141845703,21.675320127107852,50.0,43.350640254215705
43200.0,0.27697062492370605,0.20600128173828125,0.019968748092651367,0.05100059509277344,21.36708241456619,50.0,42.734164829132375
46800.0,0.266648530960083,0.18260550498962402,0.021001338958740234,0.062041282653808594,20.36972502497671,50.0,40.73945004995342
50400.0,0.26035118103027344,0.18766570091247559,0.020999670028686523,0.05168581008911133,19.302437866757312,50.0,38.604875733514625
54000.0,0.25817322731018066,0.17617154121398926,0.020971059799194336,0.06103062629699707,18.724588959768994,50.0,37.44917791953799
57600.0,0.2379286289215088,0.1509716510772705,0.020998239517211914,0.06595873832702637,18.745701156045605,50.0,37.49140231209121
61200.0,0.27990245819091797,0.18140888214111328,0.024971723556518555,0.0725107192993164,19.683457676309907,50.0,39.36691535261981
64800.0,0.25075650215148926,0.17275357246398926,0.022002220153808594,0.056000709533691406,21.128604155733438,50.0,42.257208311466876
68400.0,0.31664514541625977,0.21663856506347656,0.022999286651611328,0.07600259780883789,22.76583868951246,50.0,45.53167737902492
72000.0,0.20203208923339844,0.13099980354309082,0.023001432418823242,0.048030853271484375,24.692831477057666,50.0,49.38566295411533
75600.0,0.3089911937713623,0.22400498390197754,0.021983623504638672,0.0630025863647461,24.348752152162554,50.0,48.697504304325115
79200.0,0.2759547233581543,0.18930840492248535,0.020961761474609375,0.06568455696105957,24.63078852143945,50.0,49.2615770428789
82800.0,0.3319721221923828,0.24100136756896973,0.018970251083374023,0.07200050354003906,21.152268128165524,50.0,42.30453625633105
86400.0,0.26718974113464355,0.1650090217590332,0.02215123176574707,0.07905793190002441,24.73271921593609,50.0,49.46543843187218
90000.0,0.2946958541870117,0.19145417213439941,0.025001049041748047,0.07824063301086426,25.275206188103745,50.0,50.55041237620749
93600.0,0.283611536026001,0.2015855312347412,0.020970821380615234,0.06000041961669922,25.28350682275562,50.0,50.567013645511246
97200.0,0.2720341682434082,0.1920332908630371,0.017967700958251953,0.06203317642211914,25.412606408092934,50.0,50.82521281618587
100800.0,0.29889869689941406,0.19416093826293945,0.022983312606811523,0.08072113990783691,25.296778317122893,50.0,50.593556634245786
104400.0,0.2880415916442871,0.19043231010437012,0.020874738693237305,0.07673454284667969,25.10016170605318,50.0,50.20032341210636
