time_s,hour,agg_mode,theta,P_A_alloc,P_B_alloc,P_total_alloc,support_flag,P_A_kW,alpha_attack,Tz_A_core,Tz_A_east,Tz_A_north,Tz_A_south,Tz_A_west,comfort_viol_A,mode_A,P_B_kW,SOC_B,uMod_B,Tz_B_core,comfort_viol_B,P_total_kW
0.0,0.0,NORMAL,0,5.88,37.12,43.0,False,0.5,0.0,23.048763065149053,22.934268956164708,22.960960386186592,22.96862847879943,23.018221647070888,0.0,NOMINAL,15.0,0.635,-1,23.002841024672545,0.0,15.5
900.0,0.25,NORMAL,0,4.273499999999999,38.7265,43.0,False,0.5,0.0,23.539200517143957,23.440903784716568,23.469324593175543,23.402312013649514,23.470186439268492,0.0,NOMINAL,15.0,0.635,-1,23.002841024672545,0.0,15.5
1800.0,0.5,NORMAL,0,3.1489499999999992,39.85105,43.0,False,0.5,0.0,23.97570107864238,23.86606301197476,23.944623336419074,23.852356850426062,23.90287241681945,0.0,NOMINAL,15.0,0.635,-1,23.002841024672545,0.0,15.5
2700.0,0.75,NORMAL,0,2.3617649999999997,40.638235,43.0,False,0.5,0.0,24.328842289243333,24.255064801790912,24.33550296318477,24.22002431279829,24.321308361058815,0.0,NOMINAL,15.0,0.635,-1,23.002841024672545,0.0,15.5
3600.0,1.0,NORMAL,0,1.8107354999999994,41.1892645,43.0,False,0.5,0.0,24.647938144997408,24.584276022132308,24.690002837084148,24.60363128999207,24.66394049480706,0.0,NOMINAL,12.0,0.635,2,23.425976006530078,0.0,12.5
4500.0,1.25,NORMAL,0,1.4250148499999993,41.57498515,43.0,False,0.5,0.0,24.98358013439412,24.928732351130204,24.933833618746473,24.970063555575596,25.008022023418192,0.0,NOMINAL,12.0,0.635,2,23.425976006530078,0.0,12.5
5400.0,1.5,NORMAL,0,1.1550103949999995,41.844989605,43.0,False,0.5,0.0,25.28398154304994,25.257658063235393,25.23496468228704,25.24408493939741,25.331863714446573,0.0,NOMINAL,12.0,0.635,2,23.425976006530078,0.0,12.5
6300.0,1.75,NORMAL,0,0.9660072764999996,42.0339927235,43.0,False,0.5,0.0,25.53755903885287,25.46929837968932,25.453044051243264,25.514418304324334,25.55837509689581,0.0,NOMINAL,12.0,0.635,2,23.425976006530078,0.0,12.5
7200.0,2.0,NORMAL,0,0.8337050935499997,42.16629490645,43.0,False,0.5,0.0,25.7578592506445,25.66737665581004,25.681362009058194,25.679275692078452,25.78689176499002,0.0,NOMINAL,12.0,0.635,2,23.769496272772802,0.0,12.5
8100.0,2.25,NORMAL,0,0.7410935654849997,42.258906434515,43.0,False,0.5,0.0,25.90797932004124,25.92442027963431,25.836392874868807,25.84448275781628,25.94303244361107,0.0,NOMINAL,12.0,0.635,2,23.769496272772802,0.0,12.5
9000.0,2.5,NORMAL,0,0.6762654958394998,42.3237345041605,43.0,False,0.5,0.0,26.119695104155262,26.02270328751713,26.02571236240058,26.035741888564353,26.062839375721293,0.0,NOMINAL,12.0,0.635,2,23.769496272772802,0.0,12.5
