,mod.conVAVSou.VDis_flow,mod.conVAVEas.VDis_flow,mod.conVAVNor.VDis_flow,mod.conVAVWes.VDis_flow,mod.conVAVCor.VDis_flow,mod.fanSup.VMachine_flow,mod.flo.temAirSou.T,mod.flo.temAirEas.T,mod.flo.temAirNor.T,mod.flo.temAirWes.T,mod.flo.temAirPer5.T,mod.TOut.y,mod.oveRelHumOutAir.y,total_power
0,2.694235945455147e-13,2.5585116247839317e-13,2.694235945455147e-13,1.989953485943058e-13,1.2780295340538332e-12,2.2717232341652773e-12,297.15,297.15,297.15,297.15,297.15,294.45,0.66,-3.5467519092178676e-25
0,0.00010563332591421827,0.00010031196145683553,0.00010563332591421841,7.802041446642761e-05,0.0005010790184372621,0.0008906777260718178,296.87031159878546,296.8899672039354,296.8700587462631,296.84467542844146,297.0503389626705,294.22499999999997,0.7012810202205882,-5.45206663225153e-08
0,0.00010080884055879455,9.573051346367157e-05,0.0001008088405587939,7.445706602729937e-05,0.00047819373706010486,0.0008499985287903966,296.9317261823255,297.0064077851266,297.0000707645965,297.00059832245626,297.1118559341462,294.0,0.7659650735294118,-4.9654237776491026e-08
0,0.00010104811057449297,9.59577300581329e-05,0.00010104811057448533,7.463379004526227e-05,0.00047932873099867994,0.0008520158467706586,297.02648016520493,296.97603551020524,297.0291299461179,297.0434443354488,297.1475600768213,293.775,0.8301665900735294,-4.9890208190679947e-08
0,0.00010556415733219443,0.00010024627729697988,0.00010556415733222815,7.796932678720812e-05,0.0005007509124658617,0.0008900941095483648,297.05101654889773,297.0470655118695,296.9640334343986,297.05889581720265,297.1653859567618,293.54999999999995,0.87,-5.4449240404806724e-08
0,0.00010216950397676474,9.702263235855909e-05,0.00010216950397682776,7.546204738972056e-05,0.0004846481384911766,0.0008614710300425703,297.0565380589811,297.0169527780543,296.9792164180463,297.0649114406199,297.16970818759944,293.325,0.8881775841346153,-5.100365815438886e-08
0,0.00010670112249990556,0.0001013259669237682,0.00010670112250004467,7.880908538513085e-05,0.0005061441857081493,0.0008996805580647432,296.9762330879896,297.02318648694876,297.03780353757656,297.055552923311,297.1684056625902,293.09999999999997,0.9037860576923078,-5.562840945749659e-08
0,0.0001002756186081896,9.522415300113355e-05,0.00010027561860813745,7.406323011203222e-05,0.0004756643617011234,0.0008455019965440484,297.0187775176848,297.04327961467754,297.0249758247627,296.9710827899503,297.1639382775165,292.875,0.9175015024038462,-4.91302808179694e-08
0,0.00010604696863304096,0.00010070476658819526,0.00010604696863301585,7.832592956861993e-05,0.0005030411614042162,0.000894164712528617,297.024762624262,297.0338979666984,296.92696279465144,297.02582796157026,297.15769686743545,292.65,0.93,-5.494839672053518e-08
0,0.00010542501274062293,0.00010011414222827892,0.0001054250127406111,7.78665550664419e-05,0.0005000908704294654,0.0008889203826280853,297.01123399677255,297.0180270386402,296.9035188665381,297.01682156386676,297.14577283405794,292.43640625,0.9429086538461539,-5.4305735573319936e-08
0,0.0001043706239383356,9.911286911698924e-05,0.00010437062393833563,7.708778709099162e-05,0.0004950893039112988,0.0008800299050890601,296.99977535111816,297.00692432898285,296.8905462460606,297.00623015777006,297.1368224549833,292.23875,0.9556410256410257,-5.322489736501221e-08
0,0.00010320954876231752,9.801028404453182e-05,0.00010320954876231766,7.623022092355735e-05,0.0004895816631691833,0.0008702399082577317,296.9904209378153,296.998629767944,296.88139213092103,296.99785394061,297.13036099259733,292.04671874999997,0.9655528846153847,-5.204727098585515e-08
0,0.00010207532147810449,9.693319437959188e-05,0.00010207532147810449,7.539248451746033e-05,0.0004842013772666031,0.0008606763179944176,296.98241905625065,296.99188448506516,296.87446385521474,296.99086464508855,297.1253299844135,291.84999999999997,0.97,-5.090959921530532e-08
0,0.00010095923556249926,9.587333219708925e-05,0.00010095923556248668,7.456814726440265e-05,0.00047890714620608114,0.0008512657184073985,296.97520510669654,296.9860393179802,296.86918717942024,296.9846753347018,297.12120022325104,291.63062499999995,0.9615992647058823,-4.980239858952213e-08
0,9.995148161293548e-05,9.491634466998096e-05,9.995148161293548e-05,7.38238236322074e-05,0.00047412679535084455,0.000842768571950181,296.966443866035,296.97876057064116,296.86378133028484,296.97698918194925,297.11692902961016,291.3925,0.9409313725490196,-4.881312760262169e-08
0,9.910756288721011e-05,9.411493903444895e-05,9.910756288721028e-05,7.320050813790472e-05,0.0004701236082593815,0.0008356528644657718,296.95546025402865,296.96932872162176,296.8581000014354,296.9666198202065,297.1117830548501,291.158125,0.9172977941176471,-4.7992324336791994e-08
0,9.846177924722228e-05,9.350168726902463e-05,9.846177924719564e-05,7.272353454257145e-05,0.00046706028870893446,0.0008302077994653,296.9434106710293,296.95860128826666,296.8532574935701,296.94220895785463,297.1050382155487,290.95,0.9,-4.7368931635333195e-08
0,0.00010147944438703513,9.636733508026328e-05,0.00010147944438708285,7.495237172917173e-05,0.0004813747928975732,0.0008556521318559533,296.9290645727657,296.94292024040357,296.89288839973256,296.8756717179506,297.0972437586632,290.8344866071428,0.889389705882353,-5.031696585643626e-08
0,0.00010045170909749512,9.53913727892243e-05,0.00010045170909738621,7.419328994718003e-05,0.00047649965916752446,0.0008469865028855026,296.8397230783363,296.93253077141924,296.9093823704477,296.9177512873522,297.09120280538275,290.82946428571427,0.8802352941176471,-4.93029551382002e-08
0,9.922942296398305e-05,9.423066031104454e-05,9.922942296398233e-05,7.329051357525467e-05,0.00047070165999766467,0.0008366804627475454,296.89626703477524,296.85457846313324,296.89720258081996,296.9225703647735,297.0855047635125,290.88470982142854,0.8734632352941176,-4.811042876617587e-08
0,0.00010070519765236533,9.563209165270364e-05,0.00010070519765237935,7.438051572987473e-05,0.00047770209973467895,0.00084912389843645,296.9022299214084,296.91589623923915,296.8146308602707,296.9202525201111,297.0824492216612,290.95,0.87,-4.955210404735952e-08
0,9.836103320426092e-05,9.340601638958735e-05,9.83610332041589e-05,7.264912385842753e-05,0.000466582392856242,0.0008293584351193882,296.9030028307387,296.89268593099723,296.83849072971907,296.9215438376912,297.0808703545007,291.0066964285714,0.8734301470588236,-4.727205733292758e-08
0,9.88155292218131e-05,9.38376168017774e-05,9.881552922185859e-05,7.298481306804536e-05,0.00046873832628384956,0.0008331906712577251,296.86344500127666,296.9108034562158,296.9025192136364,296.9253030715076,297.0853388320612,291.08928571428567,0.8831470588235294,-4.770992886967037e-08
0,9.844133632679333e-05,9.348227417731e-05,9.844133632680786e-05,7.270843547124128e-05,0.00046696331629612155,0.0008300355930844346,296.90144369096663,296.96147315394074,296.920660430154,296.89000097862254,297.09363503192446,291.22723214285713,0.8937904411764706,-4.734928261185236e-08
0,9.864252766807447e-05,9.367333034160026e-05,9.864252766807321e-05,7.285703471013418e-05,0.00046791768139750985,0.0008317320385097251,296.93639202886993,297.027869509294,296.89700214892997,296.94865879062235,297.10931245279227,291.45,0.9,-4.754302745858718e-08
0,0.00010055674678743157,9.549111912046566e-05,0.00010055674678743155,7.427087042702917e-05,0.0004769979127459079,0.0008478723213412935,296.95901026501554,297.14116697538327,296.90570019300776,296.97439068560254,297.12583211067135,291.7740808823529,0.9007720588235294,-4.940613577997974e-08
0,0.0001020051239618893,9.686653312018305e-05,0.00010200512396188927,7.534063687125538e-05,0.00048386839047273453,0.000860084695268736,296.98191400732514,297.2716713454029,296.93593991162606,297.0118649333798,297.1440813394189,292.1808823529411,0.8973529411764706,-5.0839633484090085e-08
0,0.00010360742391933984,9.838811591787553e-05,0.00010360742391934,7.652409015834761e-05,0.0004914690116116868,0.0008735948829014062,297.01051691949954,297.3657178972907,296.97712250748185,297.0649240492891,297.1719238324841,292.6472426470588,0.8877573529411765,-5.24493529120261e-08
0,0.00010083599932218503,9.575630408232606e-05,0.00010083599932219293,7.447712539736392e-05,0.000478322566540566,0.0008502267676654964,297.05361122549317,297.4468962901825,297.03256908098143,297.1252485675688,297.20551175786863,293.15,0.87,-4.968090734954131e-08
0,0.05166184170769999,0.05157440917609676,0.0516618417158931,0.04122288142694395,0.23789350855177913,0.4340670935647699,296.9137159183789,297.23793945394385,296.92947852955547,296.89459899302875,296.9802723223753,293.70275735294115,0.840419921875,1492.1713820921377
0,0.051064039916153325,0.051006720553791594,0.051064039934924164,0.04078134772048398,0.23505777363201286,0.42902549436873366,296.88759371331514,297.2484003097204,296.9190015843428,296.88829318444283,296.9354983068933,294.2941176470588,0.801953125,1567.298010250255
0,0.050925217316719194,0.05087489355186147,0.050925217355411875,0.04067881679234765,0.23439924943059576,0.42785422019440283,296.94315064453497,297.29445946923346,296.95452836894526,296.9164382597092,296.9505801897512,294.863419117647,0.7625097656250001,3704.675940583454
0,0.05089002222185084,0.05084146789560262,0.050890022285131634,0.04065281760099171,0.23423230732336556,0.42755803855580643,296.98334573636765,297.3716391715688,296.9798361072871,296.9337829408561,296.96783669214915,295.34999999999997,0.73,8052.753909201465
0,0.05088194785605227,0.050833799110920584,0.050881947885219624,0.04064685340475516,0.23419399189257367,0.4274901125574107,297.15864956197134,297.54149004819357,297.1443759402877,297.0890074911358,297.1243719895816,295.775,0.7036286272321429,3557.214243189925
