scenario,feeder_capacity_mean_kW,feeder_limit_mean_kW,viol_hours,viol_percent_time,max_exceed_kW,exceed_energy_kWh,compliance_percent_time,total_feeder_energy_kWh,agg_P_total_kW_mean_kW,agg_P_total_kW_std_kW,agg_P_total_kW_cv_percent,agg_P_total_kW_peak_kW,agg_P_total_kW_mean_abs_ramp_kW_per_h,agg_P_total_kW_max_abs_ramp_kW_per_h,agg_P_total_kW_max_pos_ramp_kW_per_h,A_occupied_hours,A_T_core_A_UHD_degC_h,A_T_core_A_OCD_degC_h,A_T_core_A_max_occ_C,A_T_east_A_UHD_degC_h,A_T_east_A_OCD_degC_h,A_T_east_A_max_occ_C,A_T_north_A_UHD_degC_h,A_T_north_A_OCD_degC_h,A_T_north_A_max_occ_C,A_T_south_A_UHD_degC_h,A_T_south_A_OCD_degC_h,A_T_south_A_max_occ_C,A_T_west_A_UHD_degC_h,A_T_west_A_OCD_degC_h,A_T_west_A_max_occ_C,A_unmet_degree_hours_sum,A_unmet_degree_hours_worst_zone,A_overcool_degree_hours_sum,A_overcool_degree_hours_worst_zone,B_occupied_hours,B_T_core_B_UHD_degC_h,B_T_core_B_OCD_degC_h,B_T_core_B_max_occ_C,B_T_east_B_UHD_degC_h,B_T_east_B_OCD_degC_h,B_T_east_B_max_occ_C,B_T_north_B_UHD_degC_h,B_T_north_B_OCD_degC_h,B_T_north_B_max_occ_C,B_T_south_B_UHD_degC_h,B_T_south_B_OCD_degC_h,B_T_south_B_max_occ_C,B_T_west_B_UHD_degC_h,B_T_west_B_OCD_degC_h,B_T_west_B_max_occ_C,B_unmet_degree_hours_sum,B_unmet_degree_hours_worst_zone,B_overcool_degree_hours_sum,B_overcool_degree_hours_worst_zone,TES_soc_mean,TES_soc_min,TES_soc_max,TES_soc_swing,TES_soc_viol_hours,TES_charge_hours,TES_discharge_hours,TES_soc_switch_count
Baseline (non-coordinated),50.0,40.0,1.5,6.25,9.399999999999999,8.2,93.75,435.592,18.149666666666665,15.19901258488707,83.74265413900886,49.4,12.334863157894736,70.8,70.8,12.0,0.9629629624999998,1.2777777725000004,24.65740741,0.4351851850000008,11.324074079999995,24.5,0.23611111249999972,11.9583333275,24.53703704,0.2129629624999998,8.5601851875,24.46296296,3.0138888900000014,1.6898148100000023,25.07407407,4.8611111125000015,3.0138888900000014,34.8101851775,11.9583333275,12.0,0.11874386999999942,2.9401650800000034,24.07128338,0.43394519000000287,1.1606750299999966,24.22888272,0.49195111000000225,1.6436210599999974,24.13661295,1.926236669999998,1.6174033700000017,24.38300211,2.8704938500000026,1.8293113999999981,24.88702878,5.841370690000005,2.8704938500000026,9.191175939999997,2.9401650800000034,0.3599081154583334,0.178984208,0.5,0.32101579199999997,3.0,1.25,2.75,1
Proposed (hierarchical),50.0,40.0,0.0,0.0,0.0,0.0,100.0,453.574,18.89891666666667,11.351268845804078,60.0630662879448,37.8,10.511621052631579,82.4,52.0,12.0,0.9629629624999998,1.2777777725000004,24.65740741,0.4351851850000008,11.324074079999995,24.5,0.23611111249999972,11.9583333275,24.53703704,0.2129629624999998,8.5601851875,24.46296296,3.0138888900000014,1.6898148100000023,25.07407407,4.8611111125000015,3.0138888900000014,34.8101851775,11.9583333275,12.0,0.10862095999999966,3.1700525499999976,24.07500414,0.43224499000000094,1.3890791500000006,24.23490461,0.4247885400000051,1.836772210000003,24.1339797,1.76489956,2.6363841400000005,24.38727266,2.098085000000001,2.0104043199999992,24.67193657,4.828639050000007,2.098085000000001,11.042692370000001,3.1700525499999976,0.5452070474166667,0.361123964,0.750435704,0.38931174,0.0,1.5,3.25,1
