metric_key,description,baseline,proposed,pct_change_%
viol_hours,Feeder limit violation hours (lower better),1.5,0.0,-99.99999993333333
exceed_energy_kWh,Feeder exceedance energy (kWh) (lower better),8.2,0.0,-99.99999998780488
agg_P_total_kW_std_kW,Aggregate feeder power std (kW) (lower better),15.19901258488707,11.351268845804078,-25.315748094424144
agg_P_total_kW_mean_abs_ramp_kW_per_h,Mean abs ramp rate (kW/h) (lower better),12.334863157894736,10.511621052631579,-14.781210636685557
A_unmet_degree_hours_sum,Building A unmet degree-hours sum (lower better),4.8611111125000015,4.8611111125000015,0.0
B_unmet_degree_hours_sum,Building B unmet degree-hours sum (lower better),5.841370690000005,4.828639050000007,-17.33722603087573
TES_soc_swing,TES SOC swing (context-dependent),0.32101579199999997,0.38931174,21.274949547419947
